title,score,favorites,members,has_anime,demo_Shounen,demo_Seinen,demo_Shoujo,demo_Josei,demo_Kids,status_Finished,status_Publishing,status_On_Hiatus,genre_romance,genre_comedy,genre_fantasy,genre_hentai,genre_boys_love,genre_erotica,genre_drama,genre_action,genre_supernatural,genre_slice_of_life,genre_adventure,genre_ecchi,genre_sci-fi,genre_mystery,genre_girls_love,genre_horror,genre_sports,genre_suspense,genre_gourmet,genre_award_winning,genre_avant_garde
Western Shotgun,6.75,5,553,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Yato no Kamitsukai,6.69,12,1439,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Boys Be...,6.55,14,1855,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boys Be... 2nd Season,6.91,1,594,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brain Powerd,6.24,2,1306,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Sennen no Yuki,7.64,207,17415,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Imadoki!,7.55,230,13838,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghost Hunt,8.3,522,17831,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Brave Story: Shinsetsu,6.78,13,1517,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
School Rumble,8.01,1532,31959,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brigadoon: Marin to Melan,6.67,6,612,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Bus Gamer,7.28,23,2572,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Kimi ni shika Kikoenai,7.28,20,2736,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nousatsu Junkie,8.02,281,13710,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherry Juice,7.21,115,11467,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chou Shinri Genshou Nouryokusha Nanaki,7.05,6,967,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
Chronicles of the Cursed Sword,6.96,51,2354,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
